Gene	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_1	Sample_2	Sample_3
ENSG00000003249.13|DBNDD1	48	176	247	77	33	85	237	0	88
ENSG00000003393.14|ALS2	40	85	3	23	57	79	1	4	68
ENSG00000003400.14|CASP10	241	238	303	237	359	381	198	23	204
ENSG00000003402.19|CFLAR	1633	1668	2618	1972	3365	4403	2833	1887	2861
ENSG00000003436.15|TFPI	0	5	0	21	200	83	85	0	1
ENSG00000003509.15|NDUFAF7	31	36	170	140	101	218	230	150	127
ENSG00000003756.16|RBM5	837	559	1564	677	645	1217	713	560	1093
ENSG00000003987.13|MTMR7	5	0	32	2	0	0	0	0	14
ENSG00000003989.17|SLC7A2	0	0	0	0	0	0	0	0	0
ENSG00000004059.10|ARF5	4475	4028	4476	4639	6975	8806	4632	3664	7967
ENSG00000004139.13|SARM1	89	18	257	98	98	44	68	25	48
ENSG00000004142.11|POLDIP2	1366	1044	2371	2290	2937	4185	1522	1500	2781
ENSG00000004399.12|PLXND1	586	399	385	594	507	1208	554	634	868
ENSG00000004455.16|AK2	1315	737	1436	1319	1692	3033	828	365	1242
ENSG00000004468.12|CD38	230	189	500	200	629	1045	175	72	122
ENSG00000004478.7|FKBP4	800	483	948	326	444	913	351	288	664
ENSG00000004487.15|KDM1A	218	320	311	380	543	486	411	321	612
ENSG00000004534.14|RBM6	1125	796	1514	750	814	2167	773	633	1527
ENSG00000004660.14|CAMKK1	2	61	115	4	85	201	93	134	452
ENSG00000004700.15|RECQL	171	43	265	106	285	304	74	67	133
ENSG00000004766.15|VPS50	140	3	142	34	55	172	11	10	78
ENSG00000004776.12|HSPB6	0	0	14	0	0	0	50	0	0
ENSG00000004777.18|ARHGAP33	37	37	167	32	7	24	13	113	128
ENSG00000004779.9|NDUFAB1	634	700	767	617	867	1020	580	391	742
ENSG00000004799.7|PDK4	57	3	1	0	58	4	35	0	378
ENSG00000004809.13|SLC22A16	15	1	23	34	79	122	0	0	4
ENSG00000004838.13|ZMYND10	8	0	59	0	0	88	2	0	0
ENSG00000004846.16|ABCB5	0	0	0	0	0	0	0	0	0
ENSG00000004848.7|ARX	0	0	0	0	32	0	0	0	0
ENSG00000004864.13|SLC25A13	181	31	221	167	179	363	234	90	290
ENSG00000004866.20|ST7	50	21	92	84	81	141	19	2	93
ENSG00000004897.11|CDC27	135	64	193	95	132	321	368	182	351
ENSG00000004939.13|SLC4A1	0	0	60	2	252	0	0	0	0
ENSG00000004948.13|CALCR	0	0	0	0	0	0	0	0	0
ENSG00000004961.14|HCCS	353	98	289	181	431	607	174	268	434
ENSG00000004975.11|DVL2	1141	700	774	1289	1185	2037	1127	639	1730
ENSG00000005001.9|PRSS22	21	0	34	28	0	0	1	19	121
ENSG00000005007.12|UPF1	191	590	186	296	425	481	694	151	343
ENSG00000005020.12|SKAP2	616	530	727	370	1323	1420	160	71	409
ENSG00000005022.5|SLC25A5	2045	1412	2581	2371	2975	4833	3166	2584	4798
ENSG00000005059.15|MCUB	1733	901	2050	2429	2142	3865	1888	1970	3098
ENSG00000005073.5|HOXA11	0	0	0	0	0	0	0	0	0
ENSG00000005075.15|POLR2J	896	1089	1148	1412	1614	2070	1283	1123	1938
ENSG00000005100.12|DHX33	142	26	150	52	214	49	190	8	18
ENSG00000005102.12|MEOX1	2	54	153	123	159	102	0	3	2
ENSG00000005108.15|THSD7A	0	0	0	0	0	0	0	0	0
ENSG00000005156.11|LIG3	429	174	241	404	351	412	238	188	273
ENSG00000005175.9|RPAP3	192	194	210	140	376	321	144	141	212
ENSG00000005187.11|ACSM3	0	11	0	6	135	0	75	71	59
ENSG00000005189.19|REXO5	16	46	47	1	12	25	6	40	38
ENSG00000005194.14|CIAPIN1	746	936	785	820	1056	1553	1030	616	1312
ENSG00000005206.16|SPPL2B	448	915	793	524	543	1861	698	623	934
ENSG00000005238.19|FAM214B	332	311	753	423	1518	1214	439	547	1522
ENSG00000005243.9|COPZ2	45	172	115	17	1	56	31	200	59
ENSG00000005249.12|PRKAR2B	202	55	1	256	1281	866	88	19	180
ENSG00000005302.17|MSL3	572	396	825	527	469	877	439	277	510
ENSG00000005339.14|CREBBP	205	1001	755	621	210	454	491	522	985
ENSG00000005379.15|TSPOAP1	464	699	654	396	127	670	397	34	148
ENSG00000005381.7|MPO	46	129	11	0	241	1472	140	122	92
ENSG00000005421.8|PON1	0	0	0	0	0	0	0	0	0
ENSG00000005436.13|GCFC2	187	17	200	56	151	236	164	198	170
ENSG00000005448.16|WDR54	546	917	1745	1021	392	865	688	682	304
ENSG00000005469.11|CROT	55	18	61	50	29	148	16	4	36
ENSG00000005471.15|ABCB4	88	20	11	5	1	113	44	27	42
ENSG00000005483.20|KMT2E	2568	1949	3617	2841	1907	5197	4470	3211	7248
ENSG00000005486.16|RHBDD2	2515	1667	2601	2818	2455	4549	7812	6159	9649
ENSG00000005513.9|SOX8	0	10	0	0	0	65	2	4	0
ENSG00000005700.14|IBTK	118	55	48	160	135	73	102	53	68
ENSG00000005801.16|ZNF195	216	97	425	124	168	319	161	124	89
ENSG00000005810.17|MYCBP2	975	1071	1227	1245	1124	1582	1024	353	925
ENSG00000005812.10|FBXL3	46	60	95	131	181	251	177	166	366
ENSG00000005844.17|ITGAL	3303	4985	5179	5287	3810	6972	2399	2684	2641
ENSG00000005882.11|PDK2	611	315	591	463	615	962	471	501	443
ENSG00000005884.17|ITGA3	7	31	38	9	6	1	0	0	0
ENSG00000005889.15|ZFX	235	390	183	157	199	482	258	111	363
ENSG00000005893.15|LAMP2	479	259	430	284	910	1683	373	213	869
ENSG00000005961.17|ITGA2B	3335	1071	22	1873	13700	7697	4281	734	2982
ENSG00000005981.12|ASB4	0	0	0	0	0	0	0	0	0
ENSG00000006007.11|GDE1	661	698	664	625	1038	1719	872	1140	1567
ENSG00000006015.17|C19orf60	2052	2433	4323	3119	2950	3004	3572	2258	3789
ENSG00000006016.10|CRLF1	2	0	4	0	2	8	4	3	25
ENSG00000006025.11|OSBPL7	175	20	452	422	175	833	355	179	447
ENSG00000006042.11|TMEM98	0	0	0	0	0	0	0	0	0
ENSG00000006047.12|YBX2	0	0	0	0	0	0	0	0	0
ENSG00000006059.3|KRT33A	0	0	0	0	0	0	0	0	0
ENSG00000006062.14|MAP3K14	587	336	754	509	473	896	549	632	1653
ENSG00000006071.12|ABCC8	0	0	0	0	0	0	0	0	0
ENSG00000006116.3|CACNG3	0	0	0	0	1	0	0	0	0
ENSG00000006118.14|TMEM132A	58	91	0	85	105	28	36	0	2
ENSG00000006125.17|AP2B1	591	884	1120	750	845	1274	584	323	681
ENSG00000006128.11|TAC1	0	0	0	0	0	0	0	0	0
ENSG00000006194.9|ZNF263	316	538	972	980	875	1204	730	603	1462
ENSG00000006210.6|CX3CL1	0	0	0	0	0	0	0	0	0
ENSG00000006282.20|SPATA20	712	531	714	818	1013	1105	867	554	1097
ENSG00000006283.17|CACNA1G	0	0	0	1	0	0	0	1	0
ENSG00000006327.13|TNFRSF12A	1	7	79	15	248	105	44	82	682
ENSG00000006377.10|DLX6	0	0	0	0	0	0	0	0	0
ENSG00000006432.15|MAP3K9	17	27	136	6	1	28	1	109	68
ENSG00000006451.7|RALA	396	392	511	361	626	932	742	535	968
ENSG00000006453.13|BAIAP2L1	9	2	0	0	90	0	53	4	10
ENSG00000006459.10|KDM7A	249	114	275	151	164	677	240	191	473
ENSG00000006468.13|ETV1	0	0	0	0	0	0	0	0	0
ENSG00000006530.15|AGK	241	307	400	216	224	613	521	230	234
ENSG00000006534.15|ALDH3B1	1132	178	401	786	2948	2305	802	864	2864
ENSG00000006555.10|TTC22	109	153	203	150	42	171	66	71	113
ENSG00000006576.16|PHTF2	175	120	237	128	525	572	299	289	490
ENSG00000006606.8|CCL26	0	0	0	0	0	0	0	0	0
ENSG00000006607.13|FARP2	59	38	120	106	33	111	78	57	188
ENSG00000006611.15|USH1C	0	0	0	0	0	0	0	0	0
ENSG00000006625.17|GGCT	104	153	191	137	196	283	113	65	85
ENSG00000006634.7|DBF4	187	150	163	217	31	137	471	364	599
ENSG00000006638.11|TBXA2R	218	28	208	710	1550	985	564	142	93
ENSG00000006652.13|IFRD1	802	432	382	628	854	771	717	481	898
ENSG00000006659.12|LGALS14	0	0	0	0	0	0	0	0	0
ENSG00000006695.10|COX10	151	79	145	154	288	250	81	141	73
ENSG00000006704.10|GTF2IRD1	68	1	49	0	1	1	0	0	8
ENSG00000006712.14|PAF1	509	429	1241	465	734	1244	1041	501	853
ENSG00000006715.15|VPS41	398	83	349	250	329	670	50	36	192
ENSG00000006740.16|ARHGAP44	1	0	1	4	4	29	0	7	31
ENSG00000006744.18|ELAC2	602	628	1072	960	1287	2566	606	792	350
ENSG00000006747.14|SCIN	5	0	0	0	0	0	31	0	0
ENSG00000006756.15|ARSD	362	181	51	169	158	837	165	30	164
ENSG00000006757.11|PNPLA4	63	218	76	47	47	548	0	32	40
ENSG00000006788.13|MYH13	0	0	0	0	0	0	0	0	0
ENSG00000006831.9|ADIPOR2	293	243	279	468	623	581	410	141	381
ENSG00000006837.11|CDKL3	2	10	25	18	1	0	26	20	10
ENSG00000007001.12|UPP2	0	0	1	0	0	0	0	10	0
ENSG00000007038.10|PRSS21	73	1	33	110	31	356	6	26	136
ENSG00000007047.14|MARK4	151	736	65	88	259	395	38	213	435
ENSG00000007062.11|PROM1	3	0	0	0	0	0	6	0	0
ENSG00000007080.10|CCDC124	1447	1372	1711	1715	2429	2742	1379	1680	2496
ENSG00000007129.17|CEACAM21	105	72	240	44	640	599	84	114	204
ENSG00000007168.12|PAFAH1B1	191	237	284	248	477	667	114	221	510
ENSG00000007171.16|NOS2	0	0	0	0	0	0	0	0	0
ENSG00000007174.17|DNAH9	0	0	0	0	0	0	0	0	0
ENSG00000007202.14|KIAA0100	220	173	316	208	347	304	151	153	263
ENSG00000007216.14|SLC13A2	0	0	0	0	0	0	0	0	0
ENSG00000007237.18|GAS7	1242	479	747	512	2249	2031	360	454	1631
ENSG00000007255.10|TRAPPC6A	1999	2277	1930	3113	1218	2519	2415	929	2643
ENSG00000007264.14|MATK	2113	2908	5325	3967	1162	5384	2071	2498	3468
ENSG00000007306.14|CEACAM7	0	0	0	0	0	0	0	0	0
ENSG00000007312.12|CD79B	2815	6302	7303	1388	2150	8207	1898	1384	1681
ENSG00000007314.12|SCN4A	0	0	0	0	0	0	0	0	17
ENSG00000007341.18|ST7L	148	75	208	129	180	166	150	117	238
ENSG00000007350.16|TKTL1	48	21	1746	232	50	32	129	22	117
ENSG00000007372.21|PAX6	0	0	0	0	0	0	0	0	0
ENSG00000007376.7|RPUSD1	894	1018	1207	1217	1483	2476	1136	1233	1486
ENSG00000007384.15|RHBDF1	0	0	0	0	0	0	0	0	0
ENSG00000007392.16|LUC7L	424	308	1151	227	319	537	505	391	584
ENSG00000007402.11|CACNA2D2	20	63	42	188	68	200	440	119	241
ENSG00000007516.13|BAIAP3	196	22	113	173	0	58	8	1	164
ENSG00000007520.3|TSR3	1438	1659	1841	1024	1253	3079	925	1176	1708
ENSG00000007541.16|PIGQ	429	399	738	798	797	1451	304	302	520
ENSG00000007545.15|CRAMP1	33	7	173	117	151	57	31	119	56
ENSG00000007866.19|TEAD3	0	0	0	0	0	9	10	0	0
ENSG00000007908.15|SELE	0	0	0	0	0	0	0	0	0
ENSG00000007923.15|DNAJC11	271	93	234	338	344	519	83	54	191
ENSG00000007933.12|FMO3	0	0	0	0	0	0	0	0	17
ENSG00000007944.14|MYLIP	627	857	1131	730	908	1173	1018	965	1302
ENSG00000007952.17|NOX1	0	1	0	0	0	0	0	0	0
ENSG00000007968.6|E2F2	110	30	119	1	424	453	1	47	35
ENSG00000008018.8|PSMB1	3412	2902	4790	3960	4951	6067	4015	3565	6579
ENSG00000008056.13|SYN1	14	0	4	0	49	43	61	8	326
ENSG00000008083.13|JARID2	603	958	510	858	854	1313	803	495	2268
ENSG00000008086.11|CDKL5	19	2	68	49	5	11	0	10	0
ENSG00000008118.9|CAMK1G	0	46	0	0	0	0	0	0	0
ENSG00000008128.22|CDK11A	43	115	143	43	54	79	84	35	176
ENSG00000008130.15|NADK	2072	394	1324	1472	3171	5617	439	483	1446
ENSG00000008196.12|TFAP2B	0	0	0	0	0	0	0	0	0
ENSG00000008197.4|TFAP2D	0	0	0	0	0	0	0	0	0
ENSG00000008226.19|DLEC1	100	56	138	58	140	277	19	25	114
ENSG00000008256.15|CYTH3	101	49	103	123	121	415	237	100	276
ENSG00000008277.14|ADAM22	1	46	70	43	18	3	33	19	27
ENSG00000008282.8|SYPL1	305	222	458	274	698	1091	248	301	664
ENSG00000008283.15|CYB561	538	300	1100	815	1086	1017	483	606	556
ENSG00000008294.20|SPAG9	347	89	295	158	245	414	340	348	694
ENSG00000008300.16|CELSR3	94	157	222	191	3	0	78	38	234
ENSG00000008311.14|AASS	8	4	53	29	8	78	8	11	2
ENSG00000008323.15|PLEKHG6	8	0	18	8	6	81	13	1	6
ENSG00000008324.11|SS18L2	331	450	602	530	455	720	476	637	650
ENSG00000008382.15|MPND	100	184	101	133	252	370	19	60	137
ENSG00000008394.12|MGST1	326	117	102	89	248	1173	175	114	566
ENSG00000008405.11|CRY1	436	309	705	742	244	739	878	558	1135
ENSG00000008438.4|PGLYRP1	0	4	19	0	275	23	1	112	31
ENSG00000008441.16|NFIX	7	106	4	15	10	69	3	0	51
ENSG00000008513.14|ST3GAL1	3426	2519	3006	3459	2678	6198	2086	2297	3791
ENSG00000008516.16|MMP25	26	8	46	43	112	245	10	1	220
ENSG00000008517.16|IL32	6606	12424	15643	14749	4952	9322	5996	3638	3821
ENSG00000008710.19|PKD1	344	213	547	431	300	562	293	245	480
ENSG00000008735.13|MAPK8IP2	0	0	8	0	0	0	0	0	0
ENSG00000008838.19|MED24	219	292	761	520	279	892	62	144	323
ENSG00000008853.16|RHOBTB2	166	151	297	148	151	155	146	11	96
ENSG00000008869.11|HEATR5B	219	252	348	258	156	538	187	113	137
ENSG00000008952.16|SEC62	671	657	751	853	854	841	771	701	938
ENSG00000008988.9|RPS20	1827	2523	3479	2807	1382	2620	4301	3067	3213
ENSG00000009307.15|CSDE1	1925	1312	2975	2837	3512	4974	3943	2502	5949
ENSG00000009335.17|UBE3C	306	236	169	417	310	825	285	150	307
ENSG00000009413.15|REV3L	212	81	295	152	198	581	134	80	191
ENSG00000009694.13|TENM1	48	59	84	24	1	43	67	54	26
ENSG00000009709.11|PAX7	0	0	0	0	0	0	0	0	0
ENSG00000009724.16|MASP2	0	0	0	0	0	0	0	0	0
ENSG00000009765.14|IYD	0	0	0	0	0	0	0	0	0
ENSG00000009780.15|FAM76A	147	229	168	200	283	417	254	100	389
ENSG00000009790.14|TRAF3IP3	3533	2723	8115	4118	3327	8280	2209	1463	2610
ENSG00000009830.11|POMT2	109	7	124	71	93	177	80	58	47
ENSG00000009844.15|VTA1	349	141	848	417	581	1012	388	466	409
ENSG00000009950.15|MLXIPL	0	0	0	0	0	0	2	3	0
ENSG00000009954.10|BAZ1B	270	549	778	508	522	973	457	81	945
ENSG00000010017.12|RANBP9	13	8	101	97	20	93	109	55	194
ENSG00000010030.13|ETV7	3	11	62	128	574	374	120	7	0
ENSG00000010072.15|SPRTN	151	174	276	187	133	141	443	296	446
ENSG00000010165.19|METTL13	268	167	281	330	424	557	27	92	61
ENSG00000010219.13|DYRK4	168	116	239	217	224	353	16	64	55
ENSG00000010244.18|ZNF207	2183	1510	1946	1998	2010	3756	4576	2685	5736
ENSG00000010256.10|UQCRC1	3132	1835	3047	2391	5731	7608	1752	2084	6756
ENSG00000010270.13|STARD3NL	808	566	1145	922	1264	2080	774	710	1593
ENSG00000010278.12|CD9	486	122	221	446	1053	1643	732	252	555
ENSG00000010282.14|HHATL	0	0	0	0	0	0	0	0	0
ENSG00000010292.12|NCAPD2	475	237	741	174	221	501	114	321	160
ENSG00000010295.19|IFFO1	1101	710	1116	1244	1582	3047	969	173	1527
ENSG00000010310.8|GIPR	44	0	0	20	0	25	25	35	29
ENSG00000010318.20|PHF7	117	176	182	313	134	139	295	270	225
ENSG00000010319.6|SEMA3G	0	24	30	13	0	0	0	0	0
ENSG00000010322.15|NISCH	877	1223	1271	1028	1156	1149	1288	695	1651
ENSG00000010327.10|STAB1	577	330	322	39	2159	2142	376	71	1008
ENSG00000010361.13|FUZ	165	3	202	356	121	238	44	80	307
ENSG00000010379.15|SLC6A13	0	0	0	0	0	28	0	0	0
ENSG00000010404.17|IDS	1653	1468	1600	1841	1960	3361	3440	2687	4118
ENSG00000010438.16|PRSS3	0	0	0	0	0	0	0	0	0
ENSG00000010539.11|ZNF200	198	157	250	132	108	172	55	39	194
ENSG00000010610.9|CD4	10783	5508	8092	5793	7653	15275	5492	3272	14739
ENSG00000010626.14|LRRC23	28	25	30	40	208	143	75	89	97
ENSG00000010671.15|BTK	670	97	633	135	1444	1829	203	139	426
ENSG00000010704.18|HFE	76	1	9	1	67	61	4	0	14
ENSG00000010803.16|SCMH1	79	141	324	131	98	219	409	102	210
ENSG00000010810.17|FYN	2150	2743	3224	3554	2385	4259	2531	2297	3131
ENSG00000010818.9|HIVEP2	218	111	505	206	152	482	326	241	103
ENSG00000010932.16|FMO1	0	0	0	0	0	1	0	0	0
ENSG00000011007.12|ELOA	844	405	856	720	915	1482	1612	1161	2217
ENSG00000011009.10|LYPLA2	2584	2384	3161	2277	3859	5698	1496	1041	1238
ENSG00000011021.21|CLCN6	172	30	240	63	226	500	425	82	457
ENSG00000011028.13|MRC2	0	0	49	51	1	112	5	29	40
ENSG00000011052.21|NME1-NME2	6	8	21	24	14	33	18	72	26
ENSG00000011083.8|SLC6A7	17	0	0	0	0	97	0	0	0
ENSG00000011105.12|TSPAN9	148	8	1	131	494	1	54	42	38
ENSG00000011114.14|BTBD7	425	413	135	208	292	478	120	177	209
ENSG00000011132.11|APBA3	671	792	1232	1314	1931	2076	735	831	835
ENSG00000011143.16|MKS1	145	2	92	114	175	347	76	56	111
ENSG00000011198.7|ABHD5	96	101	25	90	135	440	49	90	144
ENSG00000011201.11|ANOS1	0	0	0	0	0	232	0	0	0
ENSG00000011243.17|AKAP8L	624	350	662	972	519	878	622	531	660
ENSG00000011258.15|MBTD1	125	46	218	204	142	162	218	121	127
ENSG00000011260.13|UTP18	440	358	731	681	571	1325	819	514	839
ENSG00000011275.18|RNF216	1278	851	1329	1214	1452	2408	1900	847	1585
ENSG00000011295.15|TTC19	927	507	1084	1036	1091	1526	530	403	710
ENSG00000011304.19|PTBP1	3129	2773	3989	2825	4305	7235	2899	1639	5697
ENSG00000011332.19|DPF1	0	0	0	0	1	0	0	0	17
ENSG00000011347.9|SYT7	0	0	0	0	0	0	0	0	0
ENSG00000011376.9|LARS2	102	245	219	165	250	182	137	104	278
ENSG00000011405.13|PIK3C2A	46	39	78	114	96	121	130	30	148
ENSG00000011422.11|PLAUR	13575	5844	1879	6804	17887	32969	7782	5547	34492
ENSG00000011426.10|ANLN	0	0	16	0	5	51	4	0	17
ENSG00000011451.17|WIZ	197	412	401	221	512	818	241	483	263
ENSG00000011454.16|RABGAP1	86	68	146	137	55	57	72	58	199
ENSG00000011465.16|DCN	0	0	0	0	0	0	0	0	0
ENSG00000011478.11|QPCTL	94	96	1	91	4	72	119	21	121
ENSG00000011485.14|PPP5C	965	805	1609	927	1331	1340	438	510	853
ENSG00000011523.13|CEP68	429	396	932	396	618	694	325	241	912
ENSG00000011566.14|MAP4K3	48	0	3	30	24	56	52	7	81
ENSG00000011590.13|ZBTB32	254	40	69	48	206	155	26	117	179
ENSG00000011600.11|TYROBP	14919	12271	10068	9595	18913	35689	12087	8376	28009
ENSG00000011638.10|TMEM159	172	139	386	320	568	547	384	466	438
ENSG00000011677.12|GABRA3	0	0	0	0	0	0	0	0	0
ENSG00000012048.20|BRCA1	57	1	120	16	3	146	0	0	65
ENSG00000012061.15|ERCC1	2074	1716	1920	1211	2123	3788	1206	784	2924
ENSG00000012124.16|CD22	1470	1874	2308	619	458	4082	816	314	1750
ENSG00000012171.19|SEMA3B	0	0	2	0	0	0	2	1	0
ENSG00000012174.11|MBTPS2	34	24	23	39	11	85	34	1	30
ENSG00000012211.12|PRICKLE3	179	73	445	245	335	610	25	120	197
ENSG00000012223.12|LTF	1	36	5	0	1654	232	0	742	0
ENSG00000012232.8|EXTL3	186	649	221	171	222	509	169	31	107
ENSG00000012504.13|NR1H4	0	0	0	0	0	0	0	0	0
ENSG00000012660.13|ELOVL5	897	772	1230	778	925	1781	867	751	1430
ENSG00000012779.10|ALOX5	2017	597	1047	816	5224	6940	694	681	4165
ENSG00000012817.15|KDM5D	3	0	355	379	336	3	428	262	424
ENSG00000012822.15|CALCOCO1	1935	1161	1960	2788	2918	2973	1503	1112	2217
ENSG00000012963.14|UBR7	225	127	407	441	319	750	170	147	187
ENSG00000012983.11|MAP4K5	128	154	238	138	362	465	141	228	243
ENSG00000013016.15|EHD3	761	88	292	473	2512	1299	368	188	818
ENSG00000013275.7|PSMC4	1922	1575	2154	1643	1885	3316	1448	952	1688
ENSG00000013288.8|MAN2B2	819	537	1451	538	870	1105	778	682	959
ENSG00000013293.5|SLC7A14	0	0	0	0	0	0	0	0	0
ENSG00000013297.10|CLDN11	0	0	0	13	0	0	0	0	0
ENSG00000013306.15|SLC25A39	1989	2217	2912	2546	4929	4581	1836	2234	3854
ENSG00000013364.18|MVP	4550	2827	7258	5302	8574	10405	3088	2490	5857
ENSG00000013374.15|NUB1	431	364	1009	513	945	1061	1083	817	807
ENSG00000013375.15|PGM3	31	29	83	18	86	118	40	21	104
ENSG00000013392.7|RWDD2A	20	0	175	96	54	62	15	26	48
ENSG00000013441.15|CLK1	1535	1080	1204	1263	1062	1711	1488	1149	2328
ENSG00000013503.9|POLR3B	64	24	38	63	70	22	51	6	58
ENSG00000013523.9|ANGEL1	294	386	443	473	411	441	109	165	212
ENSG00000013561.17|RNF14	131	65	239	139	410	292	165	98	211
ENSG00000013563.13|DNASE1L1	471	247	131	412	816	593	310	135	390
ENSG00000013573.16|DDX11	38	134	284	340	72	275	17	86	536
ENSG00000013583.8|HEBP1	580	352	387	433	1445	1167	446	452	1030
ENSG00000013588.7|GPRC5A	24	30	0	1	1	24	0	0	57
ENSG00000013619.13|MAMLD1	75	0	96	56	2	2	0	8	7
ENSG00000013725.14|CD6	4411	6015	6360	8597	5578	7063	9169	9664	7496
ENSG00000013810.18|TACC3	2077	778	2457	1862	2224	3083	1304	961	1175
ENSG00000014123.9|UFL1	78	62	209	127	164	261	101	47	163
ENSG00000014138.8|POLA2	69	173	312	216	363	391	52	169	34
ENSG00000014164.6|ZC3H3	975	1235	756	1066	2071	1838	583	528	1067
ENSG00000014216.15|CAPN1	3648	2034	3816	3633	7621	9556	2244	1818	3202
ENSG00000014257.15|ACPP	124	10	65	63	350	618	146	37	86
ENSG00000014641.17|MDH1	544	254	763	470	733	1167	347	162	255
ENSG00000014824.13|SLC30A9	194	191	470	180	213	505	263	179	478
ENSG00000014914.20|MTMR11	661	93	194	136	1123	1258	275	291	911
ENSG00000014919.12|COX15	181	37	322	140	206	383	42	47	116
ENSG00000015133.18|CCDC88C	1452	1148	2763	1279	827	2432	1600	1646	1741
ENSG00000015153.14|YAF2	184	144	237	207	249	433	263	216	436
ENSG00000015171.19|ZMYND11	176	43	268	116	61	382	101	113	59
ENSG00000015285.10|WAS	851	569	910	615	1822	2409	380	472	1320
ENSG00000015413.9|DPEP1	0	0	0	0	41	0	0	0	0
ENSG00000015475.18|BID	2721	1487	1791	1462	4407	5730	2432	1874	5229
ENSG00000015479.18|MATR3	91	15	65	75	135	214	152	167	152
ENSG00000015520.14|NPC1L1	0	0	0	0	0	0	0	0	0
ENSG00000015532.9|XYLT2	343	47	455	444	572	420	169	36	521
ENSG00000015568.12|RGPD5	0	0	0	0	0	1	1	0	0
ENSG00000015592.16|STMN4	0	0	0	0	0	0	0	0	0
ENSG00000015676.17|NUDCD3	976	661	1386	1353	861	1348	765	1298	1219
ENSG00000016082.14|ISL1	0	0	0	0	0	0	0	0	0
ENSG00000016391.10|CHDH	0	0	0	75	71	0	1	7	0
ENSG00000016402.13|IL20RA	0	0	0	0	0	0	0	0	0
ENSG00000016490.15|CLCA1	0	0	0	0	0	0	0	0	0
ENSG00000016602.9|CLCA4	0	0	0	0	0	0	0	0	0
ENSG00000016864.18|GLT8D1	530	150	607	367	775	1139	371	180	137
ENSG00000017260.19|ATP2C1	207	139	177	173	244	309	72	162	156
ENSG00000017427.15|IGF1	0	0	0	0	4	37	0	0	0
ENSG00000017483.14|SLC38A5	319	510	588	145	479	644	187	195	159
ENSG00000017797.12|RALBP1	482	949	589	446	871	1335	366	223	406
ENSG00000018189.12|RUFY3	66	6	111	76	285	55	153	60	364
ENSG00000018236.14|CNTN1	0	0	0	0	0	0	0	0	0
ENSG00000018280.16|SLC11A1	2627	1256	1916	1047	6703	12156	1861	1151	4415
